{'curve_id': 'm10+extra#-20_-16_-14_-13_-7_-6_2_3_14_19', 'certified_rank': 13, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.2928640842437744, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-12_5_6_7_9_10_11_13_14_17', 'certified_rank': 13, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.3863675594329834, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-17_-14_-13_-4_-1_6_13_14_15_16', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.7937560081481934, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-20_-6_-4_-3_-2_6_14_15_18_20', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 0.012368917465209961, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-20_-19_-14_-11_-9_-8_-2_-1_6_16', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 3.57399320602417, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-13_-12_-11_-10_-9_5_10_13_19_20', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 3.5697669982910156, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-17_-15_-14_-11_-10_-8_0_5_18_20', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 0.4017496109008789, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-20_-18_-17_-9_1_4_6_12_13_18', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 10.75966763496399, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-20_-18_-17_-12_-8_-4_5_6_9_14', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 0.0255892276763916, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-18_-14_-13_-7_-6_-4_0_7_13_16', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 4.00069785118103, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-15_-13_-6_-1_1_4_5_14_16_19', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.2430469989776611, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-19_-15_-13_-12_-5_-4_-2_4_9_15', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.4647059440612793, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-15_-12_-7_-6_0_6_9_11_12_20', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 7.345718860626221, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-16_-14_-10_-8_6_10_11_12_15_18', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.4898655414581299, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-19_-18_-16_-10_-5_-4_-2_-1_16_19', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 5.785084247589111, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-13_-7_-6_-2_-1_0_6_10_18_19', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.4698259830474854, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-19_-13_-12_-9_-8_2_3_16_18_20', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.239858627319336, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-20_-16_-12_-3_2_9_11_12_17_18', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 5.695690631866455, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-19_-8_-6_0_2_3_6_10_13_15', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.6838781833648682, 'contradicts_certified_rank': False}
{'curve_id': 'm10+extra#-16_-14_-10_-9_-7_-4_4_5_14_17', 'certified_rank': 12, 'pari_r_low': -1, 'pari_r_high': -1, 'status': 'timeout_or_error', 'seconds': 1.4571967124938965, 'contradicts_certified_rank': False}
